t,obj_val,setup_secs,solve_secs,total_secs,term_status,eigmax
1,1.9488208502122824,6.337355852127075,0.9999618530273438,7.529515027999878,OPTIMAL,1.1125337051983163e-7
2,1.9825578824949917,4.939602851867676,4.521022081375122,9.958588123321533,OPTIMAL,7.165826394019816e-8
3,2.033140208086241,11.77025294303894,13.19306993484497,26.200854063034058,OPTIMAL,9.939784184454307e-8
4,2.113621565086401,22.110597133636475,25.643539905548096,48.99780797958374,OPTIMAL,8.868268396903464e-8
5,2.215213503403401,39.75157308578491,36.81866478919983,78.6392149925232,OPTIMAL,1.082463497765905e-7
6,2.340219453470017,55.89110589027405,59.822038888931274,117.44476294517517,OPTIMAL,3.7378379143445444e-8
7,2.5000648642667636,82.17456316947937,96.91869497299194,182.56248497962952,OPTIMAL,8.068645007485335e-8
8,2.6826408101710415,101.87797498703003,134.77865314483643,239.27091789245605,OPTIMAL,6.06263138758927e-8
9,2.8632846605359754,129.8769679069519,152.86033391952515,287.3777301311493,OPTIMAL,6.948362282237728e-8
10,3.022415603610262,163.76495599746704,237.59765791893005,405.45246601104736,OPTIMAL,4.18458856444328e-8
11,3.151819441167779,199.828045129776,263.50860595703125,467.8132658004761,OPTIMAL,3.227404961555219e-8
12,3.332538620249942,238.9332959651947,339.7494649887085,584.0514938831329,OPTIMAL,1.3142217893258863e-8
13,3.424424624977982,288.1483578681946,431.35151410102844,726.2686080932617,OPTIMAL,1.3543451044619898e-8
14,3.5868369930678763,351.2615828514099,546.6020841598511,905.8259980678558,OPTIMAL,7.3934073428041346e-9
15,3.8539713571568566,398.220458984375,654.8081738948822,1064.1479921340942,OPTIMAL,7.245594114893755e-9
16,3.904427685877457,477.5527548789978,917.9368739128113,1405.6189579963684,OPTIMAL,2.0379770534727857e-8
17,3.864740772719695,550.019474029541,1063.4127669334412,1624.1418299674988,OPTIMAL,1.4307859913802245e-8
18,3.8092748131222947,603.0359170436859,1114.3328909873962,1729.0694630146027,OPTIMAL,1.3592339047254472e-8
19,3.8099540693178895,683.840126991272,1508.0427589416504,2204.49183678627,OPTIMAL,1.4570676617524982e-8
20,3.833290681266295,790.323163986206,1505.031483888626,2309.1818141937256,OPTIMAL,1.0842247203189964e-8
21,3.894064794705806,632.7301080226898,1666.4142920970917,2313.8784499168396,OPTIMAL,2.0771942192085106e-8
22,3.9620773858689327,707.7639350891113,2199.537314891815,2923.327835083008,OPTIMAL,2.0205581843509493e-8
23,4.183223138014212,801.3602731227875,2266.3125400543213,3085.443666934967,OPTIMAL,1.5327299995194867e-8
24,4.87451170374462,897.3563389778137,2925.310331106186,3841.1464989185333,OPTIMAL,1.1601318222574346e-8
25,6.3894657238913295,1038.0374970436096,3171.7235209941864,4233.616224050522,OPTIMAL,1.8636563022438432e-8
26,9.832821708064584,1170.7343349456787,3435.6083471775055,4628.104278087616,OPTIMAL,1.103726786886743e-8
27,22.697729111509506,1405.6120629310608,3993.6835050582886,5456.541392803192,OPTIMAL,5.511871022029866e-10
28,71.3734206884253,1557.8918380737305,4823.901219844818,6434.486282110214,OPTIMAL,1.9041002671781683e-10
29,247.55032351088215,1661.3183970451355,7533.8468289375305,9254.05909204483,SLOW_PROGRESS,2.152001498817353e-11
30,803.9218750021986,1660.3608121871948,9065.120906114578,10802.31230711937,OPTIMAL,1.0264219053423228e-11
