beta,width,yc1,yc2,yc3,yc4,P11,P12,P13,P14,P22,P23,P24,P33,P34,P44,setup_secs,solve_secs,total_secs,eigmax
0,40,-37.42178691983514,4.137037965337878,-4.417952671981464,27.66448231402844,985.8721922353446,-91.73390761459973,-103.11375177380849,-661.6556757983429,1370.0308201165728,123.55215349676989,-237.5478384874148,594.0685352331017,127.45426691337599,1778.280592322208,20.00729203224182,0.5995800495147705,35.98628115653992,1.032853133970688e-11
1,40,-37.37982396526979,4.112728477928395,-4.4488741258725515,27.57960183370061,796.8197634848764,-73.00411211186758,-81.93249934377525,-536.1446714125998,1104.8084086013869,98.05047385172817,-190.53182859695843,478.579247871717,101.22409221973685,1433.3147517898026,2.39459490776062,1.2746541500091553,3.756308078765869,1.8530638423557872e-8
2,40,-37.38358413181643,4.083993273337276,-4.4800240062427505,27.563461597538627,697.5133568618791,-62.956828731922855,-71.6467328857256,-468.5752838846648,975.2371843114411,86.68316935579861,-172.95013394041754,420.99500394062983,88.77127047842355,1258.1522097356508,0.3649170398712158,1.1980228424072266,1.6300899982452393,1.0526434720395504e-8
3,40,-37.41916448205895,4.168729149861526,-4.417848537468637,27.622074425678168,625.4730264365261,-57.838926474030764,-65.03905752660329,-420.5766598503715,867.0380981679957,78.176113240232,-148.9717572518212,376.19352986118,80.46014473657992,1123.170699128391,0.3576488494873047,1.5154540538787842,1.9570848941802979,1.9646666580254272e-9
4,40,-37.44136008715832,4.212700058766622,-4.444103576992383,27.603916317011954,567.605442011657,-54.293970411149864,-58.67439804080801,-381.96497795364803,788.9037881615278,70.60504015236621,-134.49841258721932,341.5906811710139,72.58843785118533,1022.0528724229147,0.37426209449768066,1.833526849746704,2.335886001586914,-4.826889336611486e-8
5,40,-37.466003299416315,4.182090585845207,-4.492438144131128,27.63040220865586,543.0487936487223,-51.2489670497778,-56.66494380161024,-364.6085980251743,756.9990239482597,67.75994224384948,-131.29195271605926,327.23712460085756,70.26855751040375,977.6647658236913,0.2985210418701172,1.813194990158081,2.2726211547851562,1.2013234400112108e-8
6,40,-37.40433070821791,4.168270375871173,-4.4875248740905915,27.521248176279784,504.58302872451003,-46.94119849071958,-52.01550007689521,-340.1329475506445,699.9304925313633,63.1060010379986,-120.06849831493076,303.8169588519137,63.987118437894694,907.1206677620735,0.35719799995422363,2.3699240684509277,2.8532581329345703,4.0172494716645575e-8
7,40,-37.45010656346541,4.143001479340471,-4.469735306501052,27.66816428426268,485.8396630857862,-46.18437567262572,-49.874827926340835,-326.2756420861207,673.9579238801364,60.81297104355323,-114.98944486890673,291.8767368028652,61.67981662046664,873.0317418116678,0.5633158683776855,2.2758681774139404,3.029222011566162,6.352129733022429e-9
8,40,-37.390508334987544,4.188959098740482,-4.463581040618613,27.56690529375873,467.3196473468895,-44.572248848428686,-48.38635517876884,-314.75032410503394,649.2012526198328,57.70228432265931,-109.91379659609638,281.32007630234574,60.18944596162577,843.2163737070596,0.37186217308044434,3.053694009780884,3.5848701000213623,1.750529215460719e-8
9,40,-37.46173591128205,4.183456915070329,-4.443809952190341,27.641354346271353,439.7980651163019,-41.91719817093059,-46.078966063167236,-295.5327856490332,609.7339182673549,54.7934648139375,-104.20003611592757,263.9035715692824,56.60298224867985,788.2172690542216,0.45676612854003906,3.126556873321533,3.8562169075012207,2.554706300180687e-8
10,40,-37.38467729415156,4.175223212602755,-4.478838141940429,27.568169031017398,421.4773979382377,-40.096586980951564,-43.631372856419645,-283.2496055482934,583.7619351662332,52.0647026122159,-99.67849164962269,252.58533062562958,53.5138672950131,756.730810042078,0.41903185844421387,3.2631428241729736,3.9503769874572754,1.5597232921794965e-8
